Sub_ID,V2,V3,V4,V5,V6,V7,V8,V9,V10,mTurkCode,Q71,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q12,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q15,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q18,Q19,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q21,Q22,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q24,Q25,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q27,Q28,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q30,Q31,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q33,Q34,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q36,Q37,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q39,Q40,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q42,Q43,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q45,Q46,Q47_1,Q47_2,Q47_3,Q47_4,Q47_5,Q47_6,Q48,Q49,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6,Q51,Q52,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,Q53_6,Q54,Q55,Q56_1,Q56_2,Q56_3,Q56_4,Q56_5,Q56_6,Q57,Q58,Q59_1,Q59_2,Q59_3,Q59_4,Q59_5,Q59_6,Q60,Q61,Q62_1,Q62_2,Q62_3,Q62_4,Q62_5,Q62_6,Q63,Q64,Q65_1,Q65_2,Q65_3,Q65_4,Q65_5,Q65_6,Q66,Q67,Q68_1,Q68_2,Q68_3,Q68_4,Q68_5,Q68_6,Q69,Q73,Q73,LocationLatitude,LocationLongitude,LocationAccuracy
21,Default Response Set,Anonymous,,,50.165.93.108,0,7/30/2016 10:42,7/30/2016 10:53,1,824311,1,1,4,5,5,4,3,4,3,5,5,4,6,4,7,6,4,1,7,7,7,5,1,4,5,5,7,7,7,7,7,6,3,1,4,4,4,3,1,4,3,3,7,7,7,4,4,6,4,3,7,7,7,7,4,6,3,5,7,7,7,7,7,7,1,5,7,7,7,7,7,7,1,4,4,7,7,7,7,7,3,5,7,7,7,7,4,7,3,1,4,4,7,7,1,7,3,5,4,5,6,3,7,4,4,4,7,7,7,5,7,4,3,4,7,7,7,7,3,7,4,2,7,7,7,7,7,7,5,3,6,5,6,4,2,4,4,1,4,4,4,1,1,4,3,4,7,7,7,7,2,6,3,5,7,7,7,7,5,7,2,4,6,6,5,5,4,4,3,3,7,7,7,7,7,7,4,20,1,42.30960083,-88.98729706,-1
22,Default Response Set,Anonymous,,,76.84.239.157,0,7/30/2016 10:38,7/30/2016 10:53,1,374728,1,3,5,5,5,5,5,5,4,4,5,4,5,3,4,5,4,3,6,6,6,4,1,2,3,3,5,5,5,7,5,6,4,2,5,5,5,2,1,1,3,2,6,6,6,5,2,4,3,4,6,6,6,7,7,6,4,3,4,5,4,4,3,3,3,3,6,7,7,2,1,2,3,4,6,6,6,5,5,5,4,5,7,7,7,6,6,6,4,3,7,7,7,4,2,1,4,3,4,4,4,4,3,6,4,5,5,6,6,5,6,6,3,5,7,7,7,7,5,6,4,1,7,7,7,1,1,1,5,4,5,7,7,5,2,3,3,2,7,6,5,2,1,1,4,3,6,7,7,6,3,2,3,5,6,6,6,7,7,7,3,3,5,6,6,3,2,2,4,3,6,6,6,5,4,3,5,27,1,40.82539368,-96.67489624,-1
23,Default Response Set,Anonymous,,,142.54.19.124,0,7/30/2016 10:48,7/30/2016 10:55,1,607605,1,2,2,2,2,2,6,6,1,1,1,1,1,1,6,6,1,1,5,5,5,1,1,1,5,1,6,6,6,6,6,6,4,1,1,1,1,1,1,1,1,1,6,6,6,2,2,6,2,2,6,6,6,6,6,6,3,4,7,7,7,7,7,7,1,1,2,2,2,2,2,2,2,1,6,6,6,6,6,6,4,1,6,6,6,6,6,6,5,1,6,6,6,2,2,2,4,1,1,1,1,1,1,1,4,1,1,6,1,1,1,1,4,1,6,6,6,6,6,6,4,1,6,6,6,6,6,6,2,4,6,6,6,7,7,7,1,1,1,1,1,1,1,1,1,2,6,6,6,6,6,6,2,1,6,6,6,6,6,6,4,1,1,1,1,1,1,1,1,1,6,6,6,6,2,6,4,34,1,41.06210327,-81.74510193,-1
24,Default Response Set,Anonymous,,,98.25.235.160,0,7/30/2016 10:43,7/30/2016 10:56,1,350987,1,5,4,3,6,1,7,7,1,4,5,3,5,3,7,6,2,4,7,6,7,7,7,7,3,1,6,4,7,7,1,1,4,1,3,2,4,1,7,7,1,3,7,7,5,4,6,3,2,1,7,7,7,7,2,2,4,4,7,7,7,7,4,4,2,1,5,4,5,6,1,1,5,1,4,5,4,5,4,5,4,2,7,7,7,7,7,7,5,1,6,2,7,7,1,1,5,1,2,2,2,1,4,3,1,4,4,2,7,7,5,5,2,1,7,7,6,7,5,6,4,1,7,7,7,7,3,7,4,4,3,4,3,1,7,7,1,1,7,7,7,1,1,1,5,1,7,7,7,7,1,1,4,4,7,7,7,7,7,7,2,1,6,6,6,6,1,1,5,4,5,2,5,2,7,7,1,50,1,34.11920166,-80.86299896,-1
25,Default Response Set,Anonymous,,,50.125.138.188,0,7/30/2016 10:50,7/30/2016 10:58,1,928996,1,5,7,7,7,7,7,7,1,5,5,5,5,5,7,7,1,5,7,7,7,7,7,7,1,2,6,5,6,5,5,5,5,4,4,4,5,4,5,5,1,5,7,7,7,7,7,7,1,5,7,7,7,7,7,7,1,5,7,7,7,7,7,7,1,4,7,7,6,5,5,5,4,5,7,7,7,7,7,7,2,5,7,7,7,7,7,7,1,5,7,7,7,7,7,7,4,5,2,4,5,4,4,4,3,5,7,7,7,7,7,7,1,2,6,7,7,5,5,7,5,5,7,7,7,7,7,7,1,5,7,7,7,7,7,7,1,5,7,7,7,7,7,7,2,5,7,7,7,7,7,7,1,5,7,7,7,7,7,7,1,5,7,7,7,7,7,7,1,5,7,7,7,7,7,7,1,41,1,47.94219971,-122.2397995,-1
26,Default Response Set,Anonymous,,,144.126.126.14,0,7/30/2016 10:30,7/30/2016 10:58,1,876557,1,5,4,5,6,3,4,4,2,1,2,3,3,3,2,2,4,4,5,6,6,5,7,7,4,1,5,7,5,6,2,2,5,1,2,4,3,2,3,3,3,1,6,5,5,4,3,5,4,5,7,7,7,7,4,5,2,5,7,7,7,7,3,7,1,2,7,7,7,6,2,4,4,5,5,5,6,6,7,7,4,5,7,7,7,5,1,3,5,5,7,5,7,7,7,7,4,4,3,4,5,4,2,5,2,5,5,5,6,7,7,7,3,4,7,7,7,7,4,4,3,5,7,7,7,7,7,7,5,4,6,6,6,5,3,3,2,2,4,5,4,2,2,4,3,5,7,7,7,6,5,6,3,4,7,7,7,6,4,5,1,1,6,6,5,6,1,2,5,5,6,5,5,5,3,5,1,24,1,39.35549927,-76.63549805,-1
27,Default Response Set,Anonymous,,,104.179.20.25,0,7/30/2016 10:45,7/30/2016 11:01,1,118218,1,1,1,1,1,1,1,1,1,5,4,5,5,4,7,3,1,2,3,3,2,4,1,3,2,4,6,5,6,2,5,5,5,1,1,2,1,1,5,1,1,4,7,7,7,7,5,7,1,4,5,7,7,6,7,5,1,4,7,7,6,7,7,7,1,1,1,1,1,1,1,1,3,5,7,7,7,7,7,7,2,4,7,7,6,5,6,7,4,1,5,6,6,6,1,5,5,4,4,5,5,3,6,3,1,4,5,4,6,7,5,3,1,4,7,7,6,7,4,6,4,5,7,7,7,7,7,7,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,1,1,1,1,1,1,1,2,4,7,7,6,5,5,5,2,1,1,1,1,1,1,1,3,4,7,7,5,3,7,5,1,24,1,37.645401,-84.81710052,-1
28,Default Response Set,Anonymous,,,38.130.76.187,0,7/30/2016 10:28,7/30/2016 11:01,1,960873,1,3,4,4,4,3,4,3,1,4,4,4,3,4,3,4,1,5,7,7,7,7,7,7,2,5,7,7,6,7,7,7,4,4,3,4,3,3,3,3,1,2,5,5,4,7,4,3,2,5,7,6,6,7,6,6,4,5,7,7,7,7,7,7,1,2,5,5,5,5,5,5,4,5,7,7,7,7,7,7,4,4,6,6,7,7,6,7,5,4,5,4,5,5,5,5,2,4,5,4,5,5,5,4,1,4,5,6,6,6,6,6,2,2,5,4,4,5,5,3,4,4,6,6,6,6,6,6,4,2,5,4,3,4,3,5,1,5,7,7,7,4,7,5,4,5,7,7,7,7,7,7,4,4,5,5,5,4,4,5,1,4,5,6,5,6,5,5,2,2,5,5,5,5,4,5,2,27,1,41.78700256,-88.08329773,-1
29,Default Response Set,Anonymous,,,152.208.56.80,0,7/30/2016 10:45,7/30/2016 11:02,1,960677,1,2,6,6,5,5,5,5,4,2,5,5,5,5,3,4,4,1,6,5,5,2,2,5,5,1,5,5,5,3,2,2,5,1,5,4,4,3,3,3,2,1,5,4,5,3,3,3,2,2,6,5,7,5,5,5,4,1,5,5,5,5,3,3,2,1,5,5,6,5,2,2,5,1,6,6,6,3,3,3,5,4,7,6,7,7,6,5,5,4,7,5,7,7,5,5,2,1,5,5,5,5,3,5,4,2,7,7,7,5,5,5,4,1,5,5,5,2,2,2,5,1,5,5,5,5,3,3,4,2,5,5,5,5,5,5,4,1,5,5,5,2,2,2,4,4,6,7,6,6,5,5,2,1,5,3,5,3,3,3,2,1,5,5,5,5,2,3,4,1,4,4,4,2,2,2,4,54,1,40.37759399,-76.79570007,-1
30,Default Response Set,Anonymous,,,173.171.146.27,0,7/30/2016 10:51,7/30/2016 11:03,1,651103,1,4,5,5,5,5,5,5,3,5,6,6,6,6,6,6,2,4,6,6,6,6,6,6,4,4,6,6,6,6,6,6,4,4,6,6,6,6,6,6,3,4,5,5,5,5,5,5,3,4,5,5,5,5,5,5,3,3,5,5,5,5,5,5,2,2,4,4,4,4,4,4,3,4,6,6,6,6,6,6,3,3,6,6,6,6,6,6,4,3,6,6,6,6,6,6,3,4,6,6,6,6,6,6,2,4,6,6,6,6,6,6,3,3,5,5,5,5,5,5,3,3,6,6,6,6,6,6,3,4,6,6,6,6,6,6,3,4,5,5,5,5,5,5,3,4,5,5,5,5,5,5,3,4,5,5,5,5,5,5,4,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,23,1,27.43730164,-82.57749939,-1
31,Default Response Set,Anonymous,,,50.126.189.134,0,7/30/2016 10:50,7/30/2016 11:05,1,705265,1,4,4,4,4,3,4,4,1,2,4,4,3,3,4,4,2,4,6,6,6,6,4,4,4,3,6,5,5,5,4,4,5,2,4,4,4,2,3,3,2,3,4,4,5,3,4,4,2,5,6,6,6,6,4,5,4,5,7,6,6,6,4,5,2,3,4,4,5,5,2,2,5,4,5,5,5,6,4,4,4,3,6,4,6,6,4,4,4,3,5,2,5,6,3,3,3,2,4,5,4,3,4,4,3,3,3,3,4,4,2,4,2,4,6,6,6,6,4,4,4,4,6,6,6,6,4,4,4,2,4,5,4,3,4,3,1,2,5,5,4,3,2,4,4,4,6,6,5,6,4,4,4,5,4,6,5,6,4,5,1,1,3,4,4,4,2,4,3,4,6,3,5,4,4,4,3,24,1,38.44119263,-121.3063965,-1
32,Default Response Set,Anonymous,,,208.81.216.8,0,7/30/2016 10:53,7/30/2016 11:06,1,229880,1,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,5,5,5,5,5,5,3,4,5,5,5,5,5,5,3,4,5,5,5,5,5,5,3,3,4,4,4,4,4,4,3,4,5,5,5,5,5,5,3,3,4,4,4,4,4,4,3,1,5,5,5,2,5,2,4,3,4,4,4,4,4,4,3,4,6,6,6,6,6,6,2,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,6,6,6,6,6,6,3,4,5,5,5,5,5,5,3,3,4,4,4,4,4,4,3,4,6,6,6,6,4,6,3,27,1,39.16589355,-84.49539948,-1
33,Default Response Set,Anonymous,,,99.120.151.18,0,7/30/2016 10:52,7/30/2016 11:06,1,932845,1,2,3,3,3,2,2,1,4,2,2,1,3,3,1,1,4,1,2,4,3,2,2,2,4,1,5,5,1,1,2,2,4,2,3,3,2,4,3,5,3,1,4,2,3,3,2,2,4,4,5,6,6,5,4,5,2,5,5,5,4,6,5,5,2,1,3,2,2,3,1,1,5,4,4,5,3,3,5,5,3,4,5,5,5,6,3,3,5,1,2,4,2,5,2,3,3,1,3,1,3,2,2,3,4,4,4,6,4,4,5,5,2,1,2,4,3,5,1,2,4,4,6,5,5,5,7,6,2,4,6,4,4,3,6,7,2,2,4,6,5,4,5,5,2,4,4,6,5,5,4,5,2,2,5,5,4,5,3,3,3,1,4,3,1,2,2,2,4,5,6,5,3,5,6,5,2,26,1,32.63609314,-117.0531998,-1
34,Default Response Set,Anonymous,,,71.65.249.198,0,7/30/2016 10:41,7/30/2016 11:06,1,755485,1,2,5,5,5,2,5,6,4,1,5,5,2,3,1,1,2,3,4,5,3,2,5,4,4,1,7,7,6,6,1,7,5,2,6,5,5,6,5,5,2,4,6,6,6,5,5,3,2,5,7,7,7,6,6,6,1,5,7,6,5,6,3,7,5,1,7,6,6,6,1,1,5,3,7,6,7,5,5,7,4,1,7,5,7,7,2,7,5,1,6,5,6,7,1,6,4,1,3,2,3,1,1,3,4,1,5,5,5,6,2,6,3,4,6,6,6,6,4,5,4,4,7,7,7,7,5,7,4,4,5,6,5,5,1,3,5,2,5,4,6,5,1,5,4,4,5,7,7,7,2,6,4,2,5,4,2,3,1,2,3,1,3,4,4,3,1,3,5,1,6,5,4,5,2,4,4,48,1,35.54460144,-78.8309021,-1
35,Default Response Set,Anonymous,,,99.119.72.150,0,7/30/2016 10:51,7/30/2016 11:07,1,177874,1,4,5,6,6,5,6,5,3,5,7,7,7,7,7,7,4,5,6,6,6,6,6,6,3,5,7,7,7,7,7,7,4,3,4,4,4,4,4,4,4,4,6,6,6,6,6,6,4,5,7,7,7,7,7,7,3,5,6,6,6,6,6,6,2,5,7,7,7,7,7,7,4,5,7,7,7,7,7,7,4,5,7,7,7,7,7,7,5,5,7,7,7,7,5,6,5,5,7,7,7,7,7,7,4,5,7,7,7,7,7,7,4,5,7,7,7,7,7,7,4,5,6,6,6,6,6,6,5,4,6,6,6,6,6,6,4,4,7,7,7,7,5,7,5,5,7,7,7,7,7,7,4,5,7,7,7,7,7,7,2,5,7,7,7,7,7,7,3,5,7,7,7,7,7,7,3,22,1,41.97279358,-87.66159821,-1
36,Default Response Set,Anonymous,,,69.139.68.28,0,7/30/2016 10:46,7/30/2016 11:08,1,286495,1,2,7,7,7,7,7,7,4,2,7,7,7,7,7,7,4,5,7,7,7,7,7,7,1,5,7,7,7,7,7,7,1,4,7,4,5,3,5,7,2,5,7,7,7,7,7,7,1,5,7,7,7,7,7,7,1,5,7,7,7,7,7,7,1,1,7,7,7,7,7,7,4,4,7,7,7,7,7,7,4,5,7,7,7,7,7,7,4,1,7,7,7,2,1,1,4,4,7,7,7,7,7,7,3,5,7,7,7,7,7,7,3,5,7,7,7,7,7,7,1,5,7,7,7,7,7,7,1,4,7,7,7,7,7,7,2,5,7,7,7,7,7,7,1,5,7,7,7,7,7,7,1,5,7,7,7,7,7,7,1,4,7,7,7,7,7,7,2,5,7,7,7,7,7,7,3,19,1,39.99639893,-75.17089844,-1
37,Default Response Set,Anonymous,,,72.152.72.149,0,7/30/2016 10:47,7/30/2016 11:14,1,436730,1,3,3,2,2,2,3,2,3,2,1,2,2,2,5,1,4,1,7,7,7,3,1,1,5,4,7,4,7,7,6,6,2,4,4,6,3,2,6,5,1,4,7,6,7,7,6,7,1,5,7,7,7,7,6,6,1,5,6,7,7,7,7,5,1,2,6,5,7,6,2,3,3,5,4,3,6,6,7,6,2,4,7,7,7,7,4,6,4,2,6,2,7,3,2,4,4,2,1,1,1,1,2,2,3,5,6,5,7,7,7,7,1,4,6,7,6,6,5,4,4,4,6,7,7,7,6,5,4,5,7,7,7,7,6,6,2,5,7,7,7,4,5,6,2,5,7,7,7,7,6,5,1,5,6,7,7,7,7,7,1,2,7,6,7,4,3,3,3,4,4,4,7,7,4,3,2,51,1,33.5756073,-85.13400269,-1
38,Default Response Set,Anonymous,,,98.234.203.232,0,7/30/2016 10:42,7/30/2016 11:15,1,667286,1,2,3,3,3,3,3,4,3,1,6,4,4,3,3,6,4,1,5,5,6,4,2,4,5,1,4,4,5,5,2,6,5,1,5,3,4,2,2,2,4,1,4,4,4,3,2,2,5,2,7,6,7,3,2,3,4,2,6,6,6,5,3,3,3,1,5,5,5,6,2,3,5,1,4,7,5,5,2,3,4,2,6,6,6,5,2,6,5,1,6,6,6,6,3,5,4,1,4,5,4,3,2,3,5,1,5,6,6,5,2,3,4,1,7,7,6,7,2,6,5,1,5,6,6,5,2,5,5,1,4,4,4,3,3,3,4,5,7,6,6,3,3,4,4,3,6,6,6,5,3,5,4,2,6,6,6,5,3,4,3,1,4,5,5,4,2,4,5,2,6,5,7,7,2,5,4,31,1,38.00489807,-121.8058014,-1
39,Default Response Set,Anonymous,,,76.109.25.96,0,7/30/2016 10:37,7/30/2016 11:17,1,303218,1,5,3,2,2,3,6,7,1,2,5,2,5,2,5,5,2,4,7,7,7,4,5,6,4,2,5,5,5,6,4,5,2,4,3,2,2,3,4,5,1,5,3,3,3,2,5,2,1,5,7,7,7,7,6,7,2,5,6,6,6,6,3,6,1,5,7,7,7,6,5,5,2,5,5,6,6,7,6,7,2,4,7,3,7,6,6,6,1,5,7,7,6,7,5,6,2,3,5,5,5,3,3,6,2,2,6,6,6,6,3,6,4,5,7,7,7,6,6,7,2,4,6,6,6,5,3,3,2,4,2,2,1,2,6,6,1,4,5,6,5,3,2,5,2,2,7,7,6,6,6,7,2,5,7,6,7,6,6,6,1,4,7,7,6,7,6,6,1,4,6,6,6,5,6,7,2,25,1,27.11880493,-80.36660004,-1
40,Default Response Set,Anonymous,,,216.203.43.60,0,7/30/2016 10:32,7/30/2016 13:19,1,744002,1,3,2,4,3,3,3,3,3,4,3,6,6,4,5,4,4,4,4,3,3,3,3,3,3,4,3,3,2,3,2,4,2,2,3,4,3,3,3,2,2,4,7,6,6,6,5,7,2,4,7,7,6,5,5,6,3,5,7,5,6,5,6,6,1,1,2,3,2,3,2,2,2,3,6,5,4,6,5,6,3,3,6,7,5,5,4,5,4,2,5,6,5,6,1,4,4,4,5,5,4,5,6,5,3,4,4,3,4,3,4,3,3,4,5,6,6,5,6,6,5,5,7,7,7,7,7,7,5,3,4,2,3,4,4,4,4,2,2,4,3,5,4,3,4,4,7,7,7,6,6,7,4,1,3,2,2,3,2,2,3,4,4,4,5,4,4,4,4,1,5,5,5,4,3,2,3,35,1,40.71429443,-74.0059967,-1
